Grafo ponderado, dirigido, 100 nodos, 200 aristas
100 200
1 2 5
1 3 7
2 4 6
2 5 8
3 6 2
3 7 3
4 8 4
4 9 5
5 10 1
5 11 7
6 12 3
6 13 9
7 14 4
7 15 2
8 16 5
8 17 3
9 18 7
9 19 1
10 20 9
10 21 2
11 22 6
11 23 4
12 24 8
12 25 3
13 26 1
13 27 7
14 28 6
14 29 5
15 30 9
15 31 2
16 32 3
16 33 7
17 34 4
17 35 9
18 36 5
18 37 2
19 38 8
19 39 1
20 40 7
20 41 3
21 42 6
21 43 2
22 44 9
22 45 1
23 46 5
23 47 7
24 48 3
24 49 8
25 50 2
26 51 5
27 52 1
28 53 6
29 54 9
30 55 7
31 56 4
32 57 3
33 58 8
34 59 1
35 60 5
36 61 2
37 62 9
38 63 7
39 64 4
40 65 3
41 66 6
42 67 5
43 68 1
44 69 9
45 70 7
46 71 4
47 72 3
48 73 6
49 74 2
50 75 9
51 76 5
52 77 1
53 78 7
54 79 4
55 80 6
56 81 9
57 82 2
58 83 3
59 84 7
60 85 1
61 86 8
62 87 5
63 88 2
64 89 6
65 90 3
66 91 7
67 92 9
68 93 4
69 94 1
70 95 3
71 96 5
72 97 8
73 98 2
74 99 6
75 100 1
76 2 5
77 3 7
78 4 2
79 5 3
80 6 4
81 7 8
82 8 1
83 9 5
84 10 3
85 11 2
86 12 6
87 13 8
88 14 4
89 15 7
90 16 3
91 17 9
92 18 5
93 19 6
94 20 4
95 21 2
96 22 1
97 23 7
98 24 6
99 25 8
100 1 3
