Grafo ponderado, dirigido, 50 nodos, 100 aristas
50 100
1 2 5
1 3 9
2 4 6
2 5 3
3 6 7
3 7 2
4 8 4
4 9 8
5 10 1
5 11 5
6 12 9
6 13 3
7 14 6
7 15 4
8 16 8
8 17 2
9 18 7
9 19 6
10 20 3
10 21 9
11 22 5
11 23 1
12 24 8
12 25 4
13 26 7
13 27 3
14 28 2
14 29 5
15 30 9
15 31 8
16 32 3
16 33 4
17 34 6
17 35 9
18 36 2
18 37 5
19 38 7
19 39 4
20 40 6
20 41 1
21 42 9
21 43 8
22 44 5
22 45 2
23 46 7
23 47 4
24 48 6
24 49 3
25 50 9
26 1 8
27 2 4
28 3 6
29 4 5
30 5 9
31 6 3
32 7 7
33 8 1
34 9 4
35 10 8
36 11 3
37 12 5
38 13 6
39 14 9
40 15 7
41 16 4
42 17 3
43 18 5
44 19 6
45 20 9
46 21 2
47 22 7
48 23 4
49 24 5
50 25 8
